epoch,train_loss,test_acc@1,test_acc@3,test_acc@5
1,3.4481984160163184,41.32,74.83,89.44
2,3.2093722417321002,43.769999999999996,77.0,90.95
3,3.0989461816685147,46.660000000000004,78.88,91.64
4,3.0222264293213965,50.38,81.82000000000001,93.57
5,2.9882654952941876,51.57000000000001,83.02000000000001,94.43
6,2.954589025617104,53.53,84.99,94.87
7,2.9221985065372285,55.60000000000001,86.25,95.34
8,2.908229418509138,56.75,86.95,95.58
9,2.89084207553717,57.830000000000005,87.55,96.31
10,2.87496418882729,59.160000000000004,88.47,96.61999999999999
