epoch,train_loss,test_acc@1,test_acc@3,test_acc@5
1,3.4531294421868806,40.45,74.59,89.38000000000001
2,3.222314120560083,43.71,76.38000000000001,90.73
3,3.1172009091371153,46.67,79.78,92.47999999999999
4,3.0382013066019504,49.54,81.44,93.36
5,2.9980059910980597,52.03,84.45,94.69999999999999
6,2.962331775361231,54.36,85.37,95.16
7,2.9371916954709687,55.559999999999995,86.52,95.47
8,2.910477240625936,56.48,86.99,95.81
9,2.896230216062939,57.65,87.53,96.11
10,2.8800414124463187,59.31999999999999,88.31,96.36
