epoch,train_loss,test_acc@1,test_acc@3,test_acc@5
1,4.10608617948051,22.8,53.5,74.03
2,4.100566409614114,22.81,53.86,74.05000000000001
3,4.0784332822440685,22.78,54.730000000000004,74.52
4,3.984682342764968,25.490000000000002,57.68,77.12
5,3.8042100516843123,28.92,62.629999999999995,81.69999999999999
6,3.644882166278805,31.990000000000002,65.79,84.26
7,3.5067364520819027,33.77,67.78999999999999,85.0
8,3.403580927055105,37.26,71.22,87.27000000000001
9,3.31725440745775,39.660000000000004,72.83,88.13
10,3.260932532376425,41.0,75.01,89.35
