epoch,train_loss,test_acc@1,test_acc@3,test_acc@5
1,3.446067875387116,42.04,75.3,89.92999999999999
2,3.204963375145281,42.230000000000004,76.25999999999999,90.31
3,3.1107445504998124,46.03,79.0,91.64
4,3.0279821065873405,50.63999999999999,82.55,93.81
5,2.9853305863967776,52.52,84.06,94.59
6,2.9523029757828168,53.42,85.09,95.12
7,2.930890690959828,55.00000000000001,86.22,95.42
8,2.904563785820398,57.8,87.21,96.08
9,2.889767812858318,57.82000000000001,87.66000000000001,96.08
10,2.873698901275361,57.85,87.94,96.14
