epoch,train_loss,test_acc@1,test_acc@3,test_acc@5
1,3.5113963572530222,40.089999999999996,74.38,88.85
2,3.2415780599840778,42.05,76.06,90.51
3,3.131834074110747,45.42,78.43,91.83
4,3.0584912741230026,48.08,81.19,93.17
5,3.0037216099215227,52.56999999999999,83.98,94.52000000000001
6,2.968343053218192,52.07000000000001,84.39999999999999,94.52000000000001
7,2.9480751925332904,54.410000000000004,85.78,95.17999999999999
8,2.923788892322252,54.89000000000001,86.22,95.58
9,2.9010097937760984,56.34,86.53,95.77
10,2.892330374363595,58.03,87.64999999999999,96.02000000000001
